hr_id,meeting_id,Title,Type,Recurrence,DayOfWeek,DayOfMonth,StartTime,EndTime,Location,Attendees,AttendeePhotos
HR01,HR01-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,Sarah;Maud;Iris,face_17.jpg;face_14.jpg;face_12.jpg
HR01,HR01-W2,Director office hours,meeting,weekly,Thu,,16:00,17:00,Teams,Nora;Maud;Tom,face_10.jpg;face_14.jpg;face_04.jpg
HR01,HR01-M1,Town hall prep,meeting,weekly,Mon,,13:00,14:00,Room Delft,Anna;Aisha;David,face_01.jpg;face_20.jpg;face_16.jpg
HR01,HR01-M2,Board meeting,meeting,weekly,Tue,,14:00,15:00,Room Aurora,Iris;Eva;Maud,face_12.jpg;face_09.jpg;face_14.jpg
HR01,HR01-M3,1:1 David,1:1,weekly,Wed,,10:00,10:45,Teams,David,face_16.jpg
HR01,HR01-M4,Skip-level 1:1s,1:1,weekly,Thu,,15:00,15:45,Teams,Steven,face_11.jpg
HR01,HR01-M5,Vendor review — HRIS,review,weekly,Fri,,14:00,15:00,Teams,Tom;Tess,face_04.jpg;face_15.jpg
HR01,HR01-M6,Diversity council,meeting,weekly,Mon,,10:00,11:00,Teams,Liam;Lisa;David,face_13.jpg;face_05.jpg;face_16.jpg
HR01,HR01-M7,1:1 Aisha,1:1,weekly,Tue,,10:30,12:00,Teams,Aisha,face_20.jpg
HR01,HR01-M8,Budget review Q3,review,weekly,Wed,,11:00,12:30,Room Delft,Rick;Eva,face_03.jpg;face_09.jpg
HR01,HR01-M9,Policy sign-off,deadline,weekly,Thu,,16:00,17:30,Teams,,
HR01,HR01-M10,Succession planning,workshop,weekly,Fri,,09:30,11:00,Room Aurora,Aisha;Rick;Iris;Steven;Anna,face_20.jpg;face_03.jpg;face_12.jpg;face_11.jpg;face_01.jpg
HR01,HR01-M11,Q-review with CFO,review,weekly,Mon,,10:00,11:30,Room Aurora,Rick;Sarah,face_03.jpg;face_17.jpg
HR01,HR01-M12,Comp & benefits review,review,weekly,Tue,,11:00,13:00,Room Delft,Eva;Ben,face_09.jpg;face_08.jpg
HR02,HR02-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,Rick;Eva;Maud,face_03.jpg;face_09.jpg;face_14.jpg
HR02,HR02-W2,BP team standup,sync,weekly,Tue,,09:30,10:15,Teams,Iris;Nora;Sophie,face_12.jpg;face_10.jpg;face_02.jpg
HR02,HR02-M1,Engagement workshop,workshop,weekly,Mon,,11:00,12:00,Room Delft,Lucas;Sophie;Sarah;Tess;Maud,face_18.jpg;face_02.jpg;face_17.jpg;face_15.jpg;face_14.jpg
HR02,HR02-M2,Onboarding buddy sync,sync,weekly,Tue,,09:30,10:15,Teams,Tess;Nora;Tom,face_15.jpg;face_10.jpg;face_04.jpg
HR02,HR02-M3,Manager 1:1 — Sales,1:1,weekly,Wed,,14:00,15:00,Teams,Anna,face_01.jpg
HR02,HR02-M4,Grievance hearing,meeting,weekly,Thu,,10:00,11:00,Room Maas,Maud;Lisa;Rick,face_14.jpg;face_05.jpg;face_03.jpg
HR02,HR02-M5,Headcount planning — Sales,meeting,weekly,Fri,,14:00,15:00,Teams,David;Iris;Maud,face_16.jpg;face_12.jpg;face_14.jpg
HR02,HR02-M6,Exit interview,interview,weekly,Mon,,15:00,16:00,Teams,Rick;Lucas,face_03.jpg;face_18.jpg
HR02,HR02-M7,Org design workshop,workshop,weekly,Tue,,13:00,14:30,Room Delft,Sarah;Aisha;Ben;Anna;Tess,face_17.jpg;face_20.jpg;face_08.jpg;face_01.jpg;face_15.jpg
HR02,HR02-M8,Job architecture review,review,weekly,Wed,,10:00,11:30,Room Delft,Nora;Ben,face_10.jpg;face_08.jpg
