hr_id,task_id,Title,Description,Category,Priority,DueOffsetDays,Status
HR01,HR01-T01,Approve Q2 report,Approve Q2 attrition report for board,Reporting,High,0,Open
HR01,HR01-T02,Sign off L&D budget,Finalise 2026 L&D budget sign-off,Budget,High,2,Open
HR01,HR01-T03,Review retention plan,Review regrettable-attrition action plan,Retention,Medium,-1,Open
HR01,HR01-T04,Prep board deck,Prepare workforce-overview board deck,Reporting,High,1,Open
HR01,HR01-T05,Approve 2 offers,Approve two senior offers,Recruitment,Medium,0,Open
HR01,HR01-T06,1:1s with HRBPs,Quarterly 1:1s with HRBPs,People,Low,3,Done
HR02,HR02-T01,Attrition deep-dive,Compile Production-unit attrition deep-dive,Reporting,High,0,Open
HR02,HR02-T02,1:1s with managers,Run 1:1s with 3 at-risk managers,Retention,High,1,Open
HR02,HR02-T03,Update job grades,Update job architecture for Sales division,Org Design,Medium,4,Open
HR02,HR02-T04,Close grievances,Close out 2 grievance cases,Employee Relations,High,-2,Open
HR02,HR02-T05,Survey follow-up,Draft engagement-survey follow-up actions,Engagement,Medium,3,Open
HR02,HR02-T06,Approve leave,Approve July leave requests for BU,Operations,Low,0,Done
HR03,HR03-T01,Schedule interviews,Schedule final interviews for Data Analyst role,Recruitment,High,0,Open
HR03,HR03-T02,Send offer,Send offer to Production Technician candidate,Recruitment,High,0,Open
HR03,HR03-T03,Update tracker,Update applicant tracker (12 new applications),Recruitment,Medium,1,Open
HR03,HR03-T04,Pipeline update,Prepare recruitment-pipeline update for Sarah,Reporting,Medium,1,Open
HR03,HR03-T05,Reference checks,Reference checks for 2 finalists,Screening,Medium,2,Open
HR03,HR03-T06,Post 3 roles,Post 3 open roles to job boards,Sourcing,Low,-1,Done
HR04,HR04-T01,Finalise plan,Finalise 2026 training plan,Planning,High,-1,Done
HR04,HR04-T02,Book trainer,Book trainer for Leadership Development cohort,Logistics,High,0,Open
HR04,HR04-T03,Review completions,Review completion rates: Customer Service program,Reporting,Medium,1,Open
HR04,HR04-T04,Update e-learning,Update e-learning content for onboarding,Content,Medium,3,Open
HR04,HR04-T05,Chase overdue training,Chase 14 overdue mandatory-training completions,Compliance,High,0,Open
HR04,HR04-T06,Prep impact slide,Prepare training-impact slide for board deck,Reporting,Medium,2,Open
HR05,HR05-T01,Run payroll,Run June payroll cycle,Payroll,High,1,Open
HR05,HR05-T02,Reconcile spend,Reconcile training spend vs budget Q2,Finance,Medium,0,Open
HR05,HR05-T03,Onboarding packs,Process 4 new-hire onboarding packs,Onboarding,High,0,Open
HR05,HR05-T04,Update master file,Update headcount master file,Data,Medium,-1,Done
HR05,HR05-T05,Verify pensions,Verify pension contributions,Compliance,High,2,Open
HR05,HR05-T06,Archive Q2 exits,Archive Q2 termination paperwork,Compliance,Low,3,Open
